"given_name","powo_taxa","powo_author","powo_dist","Champion1968","Choudhary2007","Choudhary2012","eFI2022","FOI2022","Gupta1998","Radha2019","Subramani2014","Thakur2021a"
"Euonymus tingens","Euonymus tingens","Wall.","Native",1,0,0,1,0,1,0,0,0
"Eupatorium odoratissimum","Ageratina ligustrina","(DC.) R.M.King & H.Rob.","Native",0,0,1,0,0,0,0,0,0
"Euphorbia donii","Euphorbia pseudosikkimensis","(Hurus. & Yu.Tanaka) Radcl.-Sm.","Native",0,0,0,1,1,0,0,0,0
"Euphorbia jacquemontii","Euphorbia jacquemontii","Boiss.","Native",0,0,0,1,1,0,0,0,0
"Euphorbia maddenii","Euphorbia maddenii","Boiss.","Native",0,0,0,0,0,0,0,1,0
"Euphorbia parviflora","Euphorbia indica","Lam.","Native",0,0,0,0,0,0,0,1,0
"Euphorbia pilosa","Euphorbia cornigera","Boiss.","Native",0,0,1,0,0,1,0,0,0
"Euphorbia stracheyi","Euphorbia stracheyi","Boiss.","Native",0,0,0,0,0,0,0,1,0
"Fagopyrum esculentum","Fagopyrum esculentum","Moench","Introduced",0,1,0,0,0,1,0,0,0
"Festuca kashmiriana","Festuca kashmiriana","Stapf","Native",0,0,0,0,0,0,0,1,0
"Festuca valesiaca","Festuca valesiaca","Schleich. ex Gaudin","Native",0,0,0,0,0,0,0,1,0
"Ficus neriifolia","Ficus neriifolia","Sm.","Native",0,0,0,0,0,0,0,1,0
"Ficus palmata","Ficus palmata","Forssk.","Native",0,0,0,0,0,0,0,0,1
